domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
jobcorps.gov,127377,414370,92781,3.253099068,135.6178117,148607
occ.gov,127377,201288,91995,1.580253892,133.019038,125805
gab.usps.com,126591,235884,71552,1.863355215,139.4722927,118728
ngdc.noaa.gov,126591,607009,99858,4.795040722,131.4846948,126591
nal.usda.gov,125019,245320,114797,1.962261736,133.427303,123446
auth.cdc.gov,124232,338887,35383,2.727855947,163.9625217,122660
response.restoration.noaa.gov,124232,176913,103789,1.424053384,85.62684333,124232
secsearch.sec.gov,124232,299573,106934,2.411399639,130.7092537,91995
atsdr.cdc.gov,123446,233525,97499,1.891717836,108.1465823,125805
nodc.noaa.gov,123446,197356,79414,1.598723328,45.61149814,122660
safercar.gov,122660,223304,96713,1.820511984,94.16652535,121087
arlweb.msha.gov,121874,1123595,69193,9.219316671,323.4439175,125019
npdb.hrsa.gov,121087,264190,49536,2.181819683,160.3899428,80987
transit.dot.gov,117942,389995,50322,3.306667684,214.1069,115583
history.nasa.gov,116370,271267,114011,2.331073301,58.07410845,127377
ope.ed.gov,116370,560618,93567,4.817547478,136.6008421,119515
prdfaq-f2.usps.com,116370,127377,91995,1.094586234,75.0335052,81773
acquisition.gov,114797,226449,58185,1.972603814,210.0890528,110079
selectionmanager.usastaffing.gov,114797,1249400,27520,10.88355967,773.8561983,114797
bhw.hrsa.gov,112438,213868,91209,1.902097156,101.8253171,114797
catalog.archives.gov,112438,153325,100644,1.363640406,202.6156726,91209
hiv.va.gov,112438,197356,103003,1.755242889,63.37771038,112438
idcf.bls.gov,112438,1507300,81773,13.4056102,1246.673127,113224
niehs.nih.gov,112438,212296,100644,1.888116117,109.7903645,111652
search.justice.gov,112438,166692,60544,1.482523702,58.88819616,92781
adviserinfo.sec.gov,111652,595215,68406,5.330983771,256.9152187,124232
nass.usda.gov,110866,260259,93567,2.347509606,198.5028322,108507
nationalmap.gov,110866,225663,95926,2.035457219,109.8577562,110079
eitc.irs.gov,110079,1685000,132095,15.30718847,538.1372741,143103
ferc.gov,110079,260259,60544,2.364292917,140.8504074,110079
forecast-v3.weather.gov,110079,183203,121087,1.664286558,118.4146295,59757
nws.noaa.gov,110079,201288,99071,1.828577658,61.62160812,113224
secure.rrb.gov,110079,382132,52681,3.471434152,143.5432735,110079
ttb.gov,110079,261045,79414,2.371433243,200.3934356,110866
esrl.noaa.gov,109293,311367,63689,2.848919876,184.2015042,110079
findit.state.gov,109293,207578,80201,1.899279917,132.6043662,82559
gps.gov,109293,199715,96713,1.827335694,47.11512174,109293
nicsezcheckfbi.gov,109293,136027,28306,1.244608529,109.323781,109293
amberalert.gov,108507,159615,105362,1.471011087,64.15202706,108507
explore.va.gov,108507,290138,106934,2.673910439,118.296838,114011
myra.gov,107720,162760,73910,1.510954326,83.5697085,106148
wwwn.cdc.gov,107720,793357,74697,7.364992573,304.7458782,116370
iqrs.npdb.hrsa.gov,106934,264190,30665,2.470589335,233.3313072,147035
th.usembassy.gov,106148,250037,73910,2.35555074,146.0887723,105362
gsaelibrary.gsa.gov,105362,647109,42459,6.141768379,405.5209848,112438
nmfs.noaa.gov,104575,160401,74697,1.533836959,134.857595,103789
salud.nih.gov,104575,110866,99858,1.060157781,25.94745398,104575
search.dhs.gov,103789,190280,69193,1.833334939,96.50007226,90422
usastaffing.opm.gov,103789,5290098,8649,50.96973668,3008.532407,103789
access-board.gov,103003,234312,78628,2.27480753,140.503529,103003
exchanges.state.gov,102217,421447,91995,4.123061722,145.8300674,101430
cfpub.epa.gov,101430,338887,113224,3.341092379,177.2407079,106934
ntrs.nasa.gov,101430,209937,81773,2.069772257,150.6282461,99858
search.nih.gov,101430,268122,83346,2.643419107,172.6515528,106934
kids.niehs.nih.gov,100644,241388,92781,2.398434084,89.10151624,102217
rita.dot.gov,99858,347536,79414,3.480302029,169.8734503,100644
rrb.gov,99858,383705,62116,3.842506359,145.7003044,99858
tsunami.gov,99858,125019,77056,1.251967794,68.44858699,99858
fedcenter.gov,99071,110866,12580,1.119056031,40.22237587,99071
hepatitis.va.gov,99071,228021,83346,2.301591788,75.81775696,99071
nhsc.hrsa.gov,99071,276771,76269,2.79366313,146.7227948,101430
photojournal.jpl.nasa.gov,99071,210723,96713,2.126989735,70.03996124,100644
collegescorecard.ed.gov,98285,372697,75483,3.792002849,191.7842092,97499
eg.usembassy.gov,98285,208364,31451,2.119997965,185.0082006,97499
informeddelivery.usps.com,97499,296428,46391,3.040318362,15.98384599,117156
it.usembassy.gov,97499,316871,70765,3.249992308,188.4835332,97499
usability.gov,97499,192639,70765,1.97580488,144.8949015,97499
invasivespeciesinfo.gov,96713,180058,67620,1.861776597,140.4952695,96713
vn.usembassy.gov,94354,301932,67620,3.199991521,210.1576722,92781
www2.usgs.gov,94354,163546,85705,1.733323442,83.24139941,89636
jobs.cdc.gov,93567,332597,66834,3.554639991,239.5641091,96713
lance.modaps.eosdis.nasa.gov,93567,244533,22802,2.613453461,122.6223989,93567
nasajobs.nasa.gov,93567,316085,93567,3.378167516,93.19370077,113224
cat-tools.usps.com,91995,181631,91995,1.974357302,28.88029784,91995
climatekids.nasa.gov,91995,470982,82559,5.119647807,287.5722159,92781
il.usembassy.gov,91995,304291,57399,3.307690635,189.8116745,89636
svs.gsfc.nasa.gov,91995,169837,91995,1.846154682,62.58965161,95140
accessgudid.nlm.nih.gov,91209,165119,29879,1.810336699,122.4132268,91209
fpds.gov,91209,392354,44818,4.301702683,320.0243836,91209
sdo.gsfc.nasa.gov,90422,224090,60544,2.478268563,86.50463383,91209
csrc.nist.gov,89636,162760,70765,1.815788299,113.1228301,95926
nwis.waterdata.usgs.gov,89636,309795,54253,3.456144853,267.2368914,97499
emergency.cdc.gov,88850,166692,79414,1.876105796,87.8227462,84918
founders.archives.gov,88850,392354,74697,4.415914463,215.1586494,88850
findhivcare.hrsa.gov,88063,99071,33810,1.125001419,12.67863916,84918
sewp.nasa.gov,88063,570840,12580,6.482177532,677.9677958,84918
ca.water.usgs.gov,87277,248465,78628,2.846855414,123.7389919,86491
fr.usembassy.gov,87277,250037,58971,2.864867033,267.0636021,84918
imagine.gsfc.nasa.gov,87277,245320,88850,2.81082072,110.2885067,92781
ssai.usajobs.gov,87277,216227,25161,2.477479748,96.56775554,81773
cpms.osd.mil,85705,192639,56612,2.247698501,141.7424771,84918
itis.gov,85705,452111,63689,5.275199813,115.3297591,85705
trade.gov,85705,176913,59757,2.064208623,124.4948486,83346
valu.va.gov,84918,214655,79414,2.527791517,83.31513931,86491
onboarding.usastaffing.gov,84132,1611089,26734,19.14953882,797.4677768,84132
findit.ed.gov,83346,213082,69979,2.556595397,140.6411225,80987
moneyfactory.gov,81773,225663,65261,2.759627261,118.6349162,81773
optn.transplant.hrsa.gov,81773,242175,58185,2.961552102,114.7791447,80987
pubs.er.usgs.gov,81773,137599,62116,1.682694777,106.250266,76269
cms.fmcsa.dot.gov,80987,190280,53467,2.349512885,186.4464297,69193
gettested.cdc.gov,80987,231167,69193,2.854371689,157.6406337,84132
glerl.noaa.gov,80987,131309,50322,1.621358984,65.82518182,80987
help.consumerfinance.gov,80987,256328,56612,3.165051181,331.4851396,76269
helpwithmybank.gov,80987,204433,69979,2.524269327,93.43681085,80987
fas.usda.gov,80201,607795,60544,7.578396778,125.9798382,78628
wrnmmc.capmed.mil,80201,127377,63689,1.588222092,95.18585803,80201
www1.va.gov,80201,221731,89636,2.764691213,79.61729904,103789
phmsa.dot.gov,79414,265763,57399,3.346550986,159.6046919,81773
saferproducts.gov,79414,181631,69193,2.287140806,131.2778351,79414
efast.dol.gov,78628,106148,40100,1.350002544,91.1701048,84918
waterwatch.usgs.gov,78628,132095,38528,1.679999491,91.9201048,76269
au.usembassy.gov,77842,206006,58185,2.646463349,251.1407852,76269
archive.opm.gov,77056,180845,55826,2.346929506,71.16282963,77842
dhs.usajobs.gov,77056,267335,62902,3.469359946,187.7845593,79414
blogs.cdc.gov,76269,106934,80201,1.402063748,69.80435039,79414
ec.usembassy.gov,76269,243747,59757,3.195885615,193.0933931,77056
ies.ed.gov,76269,280702,66048,3.680420617,176.9180925,76269
usaspending.gov,76269,865695,18871,11.35054872,555.1564069,76269
cnpp.usda.gov,75483,129736,69193,1.718744618,73.26037651,76269
fletc.gov,74697,266549,58185,3.568403015,240.4516112,74697
www-odi.nhtsa.dot.gov,74697,132095,57399,1.768411047,142.041501,74697
data.gov,73910,136027,50322,1.840441077,47.04280882,70765
faa.usajobs.gov,73910,308222,44818,4.170234068,237.2672439,76269
idcfars.bls.gov,73124,304291,35383,4.161301351,161.6346753,76269
organdonor.gov,72338,148607,62116,2.054342116,126.9779784,72338
betobaccofree.hhs.gov,70765,92781,55826,1.311114251,55.64466897,70765
gibill.custhelp.com,70765,317657,47963,4.48889988,231.1564615,70765
nutrition.gov,70765,106934,68406,1.511114251,71.01138981,70765
pl.usembassy.gov,70765,182417,52681,2.577785628,167.3673144,69193
everykidinapark.gov,69979,307436,47963,4.393260835,88.78650738,69193
hq.nasa.gov,69979,158829,62902,2.269666614,130.8089856,68406
mentalhealth.gov,69979,106934,63689,1.528086998,83.08988411,69979
vehiclehistory.gov,69979,143103,67620,2.044942054,112.4044928,69979
nifa.usda.gov,69193,207578,56612,2.999985548,131.3517263,70765
blogs.usda.gov,68406,110866,55826,1.620705786,211.2312224,70765
pe.usembassy.gov,68406,227235,48749,3.321857732,317.2548899,67620
catalog.data.gov,66834,253182,50322,3.788221564,164.2585061,67620
rma.usda.gov,66834,154111,22802,2.305877248,206.9525391,69193
caweb.sba.gov,65261,279916,17298,4.289177303,362.6884816,66834
jobview.doors.dol.gov,65261,73910,55826,1.132529382,31.57846187,62116
dbcalc.usps.com,63689,297214,60544,4.666645732,179.9128735,57399
ginniemae.gov,63689,452898,20443,7.111086687,395.5046083,63689
business.usa.gov,62902,279130,51895,4.437537757,119.5133859,66048
gravelocator.cem.va.gov,62902,337314,46391,5.362532193,329.5524467,63689
nauticalcharts.noaa.gov,62902,366407,50322,5.825045309,251.5018759,62116
oig.justice.gov,62902,104575,45604,1.662506757,32.86273886,57399
aawu.arh.noaa.gov,61330,310581,19657,5.064095875,163.0253872,61330
cameochemicals.noaa.gov,61330,161188,55826,2.628208055,87.7819175,61330
cfda.gov,61330,301146,32238,4.910255992,427.8455079,61330
coast.noaa.gov,61330,110866,48749,1.80769607,157.0125876,59757
cpars.gov,60544,94354,33024,1.558436839,158.5704446,60544
zh.usps.com,60544,122660,33810,2.025964588,85.10336284,62116
alumni.state.gov,59757,412011,44032,6.894773834,274.1068494,58971
comptroller.defense.gov,59757,89636,22016,1.500008367,190.4089897,57399
americanenglish.state.gov,58971,154111,51108,2.613335368,72.76008547,58185
lewis-mcchord.army.mil,58971,105362,22802,1.786674806,165.8268471,58971
ifap.ed.gov,58185,176127,42459,3.027017272,266.6341497,58185
nspires.nasaprs.com,58185,345964,23588,5.945931082,285.7962361,58185
armycivilianservice.usajobs.gov,57399,264977,25161,4.616404467,192.2586108,57399
ccr.cancer.gov,57399,148607,38528,2.58901723,132.2043415,57399
cpars.cpars.gov,57399,1122809,29092,19.5614732,841.2392725,57399
pmm.nasa.gov,57399,106148,53467,1.84930051,132.834457,59757
atlanta.va.gov,56612,83346,45604,1.472232036,63.05580089,58185
eca.state.gov,56612,203647,56612,3.597240868,213.875839,59757
kr.usembassy.gov,56612,154897,41673,2.736116018,107.7087543,57399
occ.treas.gov,56612,158042,49536,2.791669611,208.6119197,56612
urs.earthdata.nasa.gov,56612,242175,25161,4.277803293,286.848336,51895
yosemite.epa.gov,56612,181631,27520,3.208348053,195.8063131,55040
blogs.nasa.gov,55826,84918,62116,1.521119192,60.50698599,58185
drought.gov,55826,74697,50322,1.338032458,36.0281231,55826
vsc.gsa.gov,55826,225663,9435,4.042256296,1004.67499,64475
foreignlaborcert.doleta.gov,55040,151752,44032,2.757122093,301.5552871,53467
sa.usembassy.gov,55040,146248,32238,2.657122093,210.4415516,52681
missionscience.nasa.gov,54253,147035,42459,2.710172709,389.0027095,51895
obamalibrary.gov,54253,81773,53467,1.507253055,57.69605367,54253
effectivehealthcare.ahrq.gov,53467,80201,52681,1.500009352,55.92657153,54253
bia.gov,52681,132881,42459,2.522370494,103.6712857,52681
espanol.epa.gov,52681,67620,41673,1.283574723,32.56705454,51108
fitness.gov,52681,79414,47177,1.507450504,81.50718475,52681
hru.gov,52681,393140,43245,7.462652569,639.9977791,52681
iaspub.epa.gov,52681,290924,55826,5.522370494,266.3423625,55040
letsmove.gov,52681,136813,47963,2.597008409,82.49224578,52681
ojjdp.gov,52681,204433,39314,3.880583132,259.9841689,52681
usmarshals.gov,52681,66834,48749,1.268654733,70.16393007,52681
era.nih.gov,51895,113224,33810,2.181790153,101.5445419,52681
bhs.econ.census.gov,51108,83346,46391,1.630781874,116.3544259,51895
mars.jpl.nasa.gov,51108,975775,51895,19.09241215,193.5086679,55040
moneyfactorystore.gov,51108,189494,43245,3.707716991,110.7390232,51108
visibleearth.nasa.gov,51108,112438,48749,2.200007827,75.53883932,53467
pbm.va.gov,50322,112438,46391,2.234370653,215.5780176,56612
cl.usembassy.gov,49536,125019,40887,2.523800872,148.872093,49536
pmf.gov,49536,172982,34596,3.492046189,201.236858,49536
water-md.weather.gov,49536,158829,786,3.206334787,967.6130693,49536
consumer.gov,48749,104575,44032,2.145172209,98.74276395,48749
educationusa.state.gov,48749,97499,46391,2.000020513,209.2598412,43245
fra.dot.gov,48749,114797,38528,2.354858561,181.453158,48749
g5.gov,48749,146248,17298,3.000020513,316.4704302,48749
cesdata.bls.gov,47177,294069,37741,6.233312843,248.0825402,47963
ma.usembassy.gov,47177,79414,17298,1.683320262,162.2828285,47177
ngs.noaa.gov,47177,128950,36169,2.733323442,164.5161413,45604
wdr.doleta.gov,47177,88850,33024,1.88333298,236.2159315,42459
csa.fmcsa.dot.gov,46391,381346,35383,8.22025824,383.5896618,38528
jsc.nasa.gov,46391,63689,48749,1.372874049,58.69438038,50322
salisbury.va.gov,46391,77842,13367,1.677954776,116.5243474,44032
access.trade.gov,45604,285420,3145,6.258661521,455.2959828,47963
eclipse.gsfc.nasa.gov,45604,65261,44818,1.431036751,103.1558197,45604
ie.usembassy.gov,45604,160401,31451,3.517257258,279.4672836,47177
insurekidsnow.gov,45604,95140,39314,2.086220507,55.05207877,45604
jo.usembassy.gov,45604,158829,25947,3.482786598,207.7254627,44818
search.gsa.gov,45604,51108,31451,1.120691167,56.82795369,36955
volunteer.gov,45604,250037,30665,5.482786598,407.9853522,45604
za.usembassy.gov,45604,164333,33024,3.603477765,231.156631,46391
nvsearch.nv.gov,44818,84132,39314,1.8771922,105.4210808,44818
datawarehouse.hrsa.gov,44032,382919,35383,8.696379906,227.5164426,53467
reginfo.gov,44032,139172,36955,3.160701308,133.8206077,44032
search.kingcounty.gov,44032,80201,27520,1.821425327,64.80316588,44032
mymoney.gov,43245,94354,40887,2.181847612,39.76404209,43245
nas.er.usgs.gov,43245,132881,35383,3.072748295,150.09245,43245
tf.nist.gov,43245,49536,38528,1.145473465,33.03669788,43245
aloha.gsa.gov,42459,60544,10222,1.425940319,177.9266116,40100
bphc.hrsa.gov,42459,257900,22802,6.074095009,284.6863091,55040
foia.gov,42459,150180,36955,3.537059281,112.9634,44818
report.nih.gov,42459,62902,39314,1.481476248,43.05572435,41673
smartpay.gsa.gov,42459,89636,33024,2.111118962,185.5933253,44032
ics-cert.us-cert.gov,41673,99858,33024,2.396227773,134.8675641,42459
northtexas.va.gov,41673,80201,29879,1.924531471,122.9619178,42459
zh-tools.usps.com,41673,57399,20443,1.37736664,74.67904878,36955
abmc.gov,40887,236671,35383,5.788416856,299.0740333,40887
fic.nih.gov,40887,132095,35383,3.230733485,249.8629638,40887
ospo.noaa.gov,40887,56612,33024,1.384596571,24.09592291,38528
assignment.uspto.gov,40100,51895,29092,1.294139651,133.8246135,39314
dodcio.defense.gov,40100,60544,37741,1.509825436,60.2161596,40100
govloans.gov,40100,80987,35383,2.019625935,91.9419202,40100
minerals.usgs.gov,40100,106148,28306,2.647082294,179.1191022,40100
mobile.arc.nasa.gov,40100,91995,34596,2.294139651,154.4326185,40887
preview.weather.gov,40100,47177,37741,1.176483791,80.64770574,29879
toxtown.nlm.nih.gov,40100,82559,35383,2.05882793,291.7670574,40100
centraltexas.va.gov,39314,67620,16512,1.719997965,161.940174,37741
id.usembassy.gov,39314,78628,29092,2,117.1601211,39314
ojp.gov,39314,87277,31451,2.219997965,114.9001119,38528
rotorcraft.arc.nasa.gov,39314,99858,2359,2.540011192,544.220583,38528
fai.gov,38528,62902,29092,1.632630814,144.2236036,38528
go4life.nia.nih.gov,38528,106934,34596,2.775487957,136.2236555,37741
nvd.nist.gov,38528,61330,36169,1.591829319,72.61178883,38528
search.consumerfinance.gov,38528,176127,18871,4.571402616,235.8964909,8649
toolkit.climate.gov,38528,72338,27520,1.877543605,162.6316445,38528
caregiver.va.gov,37741,99071,31451,2.625023184,173.4188813,43245
fsd.gov,37741,290924,33024,7.708433799,210.98185,37741
glovis.usgs.gov,37741,74697,25947,1.979200339,184.3773615,37741
hn.usembassy.gov,37741,121874,29879,3.229220211,240.1072309,37741
in.gov,37741,81773,27520,2.166688747,128.0016428,34596
uy.usembassy.gov,37741,87277,16512,2.31252484,128.6891444,36955
cs.amedd.army.mil,36955,83346,30665,2.255337573,120.8091733,36955
lovell.fhcc.va.gov,36955,55040,22016,1.489378974,274.3206332,36955
netl.doe.gov,36955,99858,26734,2.702151265,158.0434041,36955
nicic.gov,36955,67620,20443,1.829792991,202.6181302,36955
blog.epa.gov,36169,113224,44032,3.130415549,180.6300423,36169
dataqs.fmcsa.dot.gov,36169,361689,12580,9.999972352,602.1290884,36169
floodsafety.noaa.gov,36169,61330,35383,1.695650972,31.54342116,34596
google2.fda.gov,36169,1274561,324734,35.23904449,257.1081313,183203
ke.usembassy.gov,36169,101430,24375,2.804335204,203.9995576,35383
namus.gov,36169,38528,22016,1.065221599,97.32585916,35383
safeharbor.export.gov,36169,51108,36169,1.413033261,112.3041002,32238
eclipse2017.nasa.gov,35383,86491,31451,2.444422463,217.8422124,33810
gsaxcess.gov,35383,1067769,11008,30.1774581,769.7032473,35383
indianaffairs.gov,35383,71552,18871,2.022214058,114.8655004,34596
richmond.va.gov,35383,47963,22016,1.35553797,50.22171664,36169
selectusa.gov,35383,59757,29092,1.688861883,50.15504621,34596
whistleblowers.gov,35383,73124,32238,2.066642173,97.91009807,35383
carbonfootprint.gsa.gov,34596,242961,32238,7.022806105,425.7089548,33810
diplomacy.state.gov,34596,64475,33810,1.863654758,108.228379,32238
dsbs.sba.gov,34596,312940,20443,9.045554399,806.4174182,40887
geodesy.noaa.gov,34596,115583,6290,3.340935368,270.070962,35383
nwrfc.noaa.gov,34596,41673,18871,1.204561221,75.77349983,33810
save.uscis.gov,34596,239816,18871,6.931899642,240.7752052,30665
drivethru.gsa.gov,33810,255541,15726,7.558148477,579.9082816,34596
search.pbgc.gov,33810,62116,31451,1.837207927,127.5351671,36169
surgeongeneral.gov,33810,53467,31451,1.581396037,126.9537711,33024
vacanteen.va.gov,33810,73910,25947,2.186039633,161.0933747,36169
www2.census.gov,33810,226449,32238,6.69769299,511.8151139,33024
boston.va.gov,33024,66834,24375,2.023800872,129.9515807,33024
jwst.nasa.gov,33024,59757,30665,1.80950218,150.7371609,33810
ovc.gov,33024,82559,18084,2.499969719,62.78533794,33024
transtats.bts.gov,33024,130523,22016,3.952367975,126.5706456,33024
ushik.ahrq.gov,33024,117942,13367,3.571402616,424.1878634,32238
archive.defense.gov,32238,49536,33810,1.536571748,159.7537068,33024
hcup-us.ahrq.gov,32238,87277,18871,2.707270923,211.7529003,32238
kh.usembassy.gov,32238,45604,10222,1.414603884,82.04755258,32238
landsat.gsfc.nasa.gov,32238,71552,22016,2.219492524,144.0710032,33024
nationalgangcenter.gov,32238,45604,28306,1.414603884,68.2916434,32238
nibib.nih.gov,32238,71552,31451,2.219492524,72.6818351,33024
search.doh.wa.gov,32238,54253,24375,1.682889757,37.43845772,32238
archive.epa.gov,31451,77056,37741,2.450033385,204.1515055,30665
data.giss.nasa.gov,31451,69979,25161,2.225016693,162.8262058,33024
espanol.foodsafety.gov,31451,40887,33810,1.300022257,31.1502337,34596
giss.nasa.gov,31451,47177,29879,1.500015898,46.85033862,32238
healthit.ahrq.gov,31451,175341,22016,5.575053257,379.0028298,29879
portland.va.gov,31451,52681,25161,1.675018282,163.2262249,33024
collections.nlm.nih.gov,30665,217014,18871,7.076928094,217.3073537,26734
hampton.va.gov,30665,44818,15726,1.461535953,248.7944888,31451
m.waterdata.usgs.gov,30665,40887,17298,1.333344203,111.3331485,29092
ngmdb.usgs.gov,30665,77842,12580,2.538464047,81.51270178,30665
search.uscourts.gov,30665,55040,27520,1.794880157,273.5893364,14939
treasuryhunt.gov,30665,63689,29092,2.076928094,110.6664927,30665
bd.usembassy.gov,29879,58185,21230,1.947354329,57.57833261,32238
crimesolutions.gov,29879,51108,25947,1.710499013,79.92017805,29879
docsteach.org,29879,219372,25161,7.342012785,410.3639345,29879
find.nist.gov,29879,44818,21230,1.499983266,145.1826032,25161
kz.usembassy.gov,29879,76269,19657,2.552595468,201.2083068,27520
mentalhealth.va.gov,29879,73124,30665,2.447337595,119.5513237,40887
minorityhealth.hhs.gov,29879,77056,20443,2.578935038,195.8926002,31451
nature.nps.gov,29879,47177,29879,1.578935038,22.84186218,33024
ng.usembassy.gov,29879,95926,23588,3.210482279,270.8917634,28306
realmail.usps.com,29879,102217,10222,3.421031494,37.2627598,25161
sohowww.nascom.nasa.gov,29879,58185,23588,1.947354329,85.60433749,29879
epas.uspto.gov,29092,853901,11008,29.35174618,2112.109515,33024
lasvegas.va.gov,29092,46391,18871,1.594630826,54.37910766,31451
mrdata.usgs.gov,29092,58185,24375,2.000034374,39.51405885,26734
philadelphia.va.gov,29092,40887,14153,1.405437921,32.29774508,29092
pugetsound.va.gov,29092,66834,24375,2.2973326,129.8936477,32238
